What is the capital of France?,Paris,Berlin,London,Madrid,A
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Stephen Hawking,B
What is the largest mammal on Earth?,Elephant,Giraffe,Blue Whale,Lion,C
Graphics can be captured using the following devices except?,Webcam,Scanners,Joystick,Digital Camera,C	
Which of the options A to D is not a medium of information transmission?,Cable,Satellite,TV Set,Wireless Transmission,C
Which of the following sources of information is received by the user in visual mode only?,Television,Radio,Photograph,Computer,C
Basic computer operations include the following except?,Control,Input,Output,Process,C
Which of the following parts of the computer ensures the smooth operation of its hardware?,Main Memory,Control Unit,Auxiliary Age,Arithmetic and Logic Unit,C
Magnetic Ink Charcter Recognition is applied on?,Voice Recognition,Mobile Devices,Data Capturing Devices,Bank Cheques,D
The main component of the first generation computer was?,Microchip,Transistor,Integrated Circuit,Electronic Valve,B
Which of the following is secondary storage device?,RAM,Bubble memory,Floppy Disk,EPROM,C
Facebook Twitter and WhatsApp are examples of?, Social Media,Social Communication,Networking Media,Search Engines,A
Which of the following is not a source of data collection?,Observation,Interview,Questionnaire,Classification,D
